PCT_DIABETES_ADULTS13,PCT_HSPA15,PCT_LACCESS_HHNV15,PCT_NSLP15,PCT_FMRKT_FRVEG16,PCT_OBESE_ADULTS13,PCT_LACCESS_WHITE15,PCT_NHNA10,PCT_FMRKT_SFMNP16,SPECSPTH14,PCT_LACCESS_CHILD15,PCT_LACCESS_MULTIR15,SODATAX_VENDM14,PCT_NHBLACK10,PCT_SFSP15,SNAPSPTH16,PCT_LACCESS_SENIORS15,PCT_FMRKT_WICCASH16,PCT_LACCESS_BLACK15,State,SUPERCPTH14,PCT_LACCESS_POP15,FOODHUB16,PCT_NHWHITE10,PCT_FMRKT_BAKED16,FFRPTH14,PCT_NHPI10,POVRATE15,PCT_LACCESS_SNAP15,PCT_LACCESS_HISP15,FMRKTPTH16,FOOD_TAX14,METRO13,SODATAX_STORES14,PCT_HISP10,PCT_FMRKT_OTHERFOOD16,CHIPSTAX_STORES14,MEDHHINC15,PCT_65OLDER10,PCT_NHASIAN10,PCT_WIC15,PCT_SBP15,RECFACPTH14,PCT_LACCESS_NHASIAN15,CONVSPTH14,PCT_SNAP16,PCT_FMRKT_CREDIT16,PCT_FMRKT_WIC16,County,PCT_LACCESS_LOWI15,FSRPTH14,PCT_LACCESS_NHNA15,PCT_18YOUNGER10,PCT_LACCESS_NHPI15,CHIPSTAX_VENDM14,GROCPTH14,PCT_FMRKT_ANMLPROD16,FIPS,PCT_FMRKT_SNAP16
13.0,25.400000000000006,3.3513316313738293,10.93452934248121,100.0,34.1,23.163613299188945,0.39764710194059116,0.0,0.0361043,8.460485385752763,0.884808108518433,4.0,17.582598816221072,1.0271087814950426,0.760911409460565,3.9962787647370215,0.0,7.726582238851551,AL,0.0180522,32.062254747184035,0,77.2461563834271,100.0,0.649878148,0.04031445273130417,12.7,4.608749252541551,0.8633453012590149,0.018045329868629997,4.0,True,4.0,2.4005424126367485,100.0,4.0,56580.0,11.995382162687141,0.8557658829781385,2.7193521519644355,5.2329982595108975,0.090260854,0.1590001560715893,0.541565123,16.97643575350071,0.0,0.0,Autauga,11.991125000212604,0.523512952,0.11209226360329974,26.777958989206724,0.01615869367843978,4.0,0.072208683,0.0,1001,0.0
10.4,25.400000000000006,1.9051144660996444,10.93452934248121,75.0,27.4,13.981393471569364,0.6287548349930048,100.0,0.12992789,3.8449360411209934,0.6187123684238006,4.0,9.308424546676543,1.0271087814950426,0.949752992301287,3.061840062297144,0.0,1.9427568795193702,AL,0.0299834,16.767489331327024,0,83.50478698598195,75.0,0.659633903,0.04334348338957013,12.9,1.2989003685463132,0.7559733541604038,0.01917885722779208,4.0,True,4.0,4.384824294296766,75.0,4.0,52387.0,16.771184813321263,0.7351932625572656,2.7193521519644355,5.2329982595108975,0.124930663,0.11683339006092339,0.589672732,16.97643575350071,50.0,0.0,Baldwin,5.4244265969613314,1.104387065,0.09966238625708228,22.987408443749484,0.008130817111661097,4.0,0.14491957,100.0,1003,0.0
18.4,25.400000000000006,4.329378079092943,10.93452934248121,50.0,44.4,10.302934444774191,0.21852350948756236,50.0,0.074385391,3.758341320879411,1.6840246747800232,4.0,46.691189860509155,1.0271087814950426,1.35438731625907,3.001694513042313,0.0,9.881359688690097,AL,0.0371927,22.105560066973666,0,46.75310485486397,50.0,0.818239298,0.08740940379502495,32.0,4.303147049779694,1.855182740477175,0.154053533602927,4.0,False,4.0,5.05153512765415,50.0,4.0,31433.0,14.236806643114688,0.3897002585861529,2.7193521519644355,5.2329982595108975,0.0,0.06226612536129292,0.706661212,16.97643575350071,50.0,0.0,Barbour,10.739666573274102,0.55789043,0.14553857556290964,21.906981826128128,0.029436486085935396,4.0,0.185963477,0.0,1005,50.0
14.8,25.400000000000006,2.8214274439833398,10.93452934248121,0.0,40.3,2.3587704067468778,0.27929303949378137,0.0,0.0444326,1.015241851061283,0.022951097716443027,4.0,21.92450360026184,1.0271087814950426,0.864873618042368,0.6008650706805324,0.0,1.8289327623129479,AL,0.0444326,4.2303244206186426,0,75.02072878027492,0.0,0.222162979,0.030547676194632337,22.2,0.6767103234591161,0.03751587380289012,0.04416375921918474,4.0,True,4.0,1.7717652192886755,0.0,4.0,40767.0,12.68164957451451,0.09600698232598735,2.7193521519644355,5.2329982595108975,0.0444326,0.008703111441598778,0.666488936,16.97643575350071,0.0,0.0,Bibb,2.6016270076683963,0.222162979,0.010967039847195766,22.696923412611827,0.0,4.0,0.222162979,0.0,1007,0.0
14.1,25.400000000000006,3.3364141441489017,10.93452934248121,100.0,34.6,5.909147039114545,0.49719130525801614,100.0,0.0,1.5887200603768292,0.35399006757299123,4.0,1.2630403684449252,1.0271087814950426,0.815945746106567,0.8825830962766426,0.0,0.16720052906872424,AL,0.0173253,6.497380137361867,0,88.88733819475942,100.0,0.363831667,0.03140155612155891,14.7,0.8127274929922376,0.8678864856259867,0.017329821156245668,4.0,True,4.0,8.070199923240642,100.0,4.0,50487.0,14.722096228324203,0.20062105299884864,2.7193521519644355,5.2329982595108975,0.051976,0.014704641143427986,0.467783572,16.97643575350071,0.0,100.0,Blount,2.8801498232112803,0.259879762,0.05048365763757057,24.608352813928335,0.0018541767164650393,4.0,0.103951905,100.0,1009,0.0
19.6,25.400000000000006,11.104440609899546,10.93452934248121,0.0,43.0,13.397438670926883,0.1832508704416346,0.0,0.0,5.650681600684799,0.3346451467837465,4.0,69.97434487813817,1.0271087814950426,1.06961333075983,5.190941491302208,0.0,24.138782160842588,AL,0.0,37.950342361794206,0,21.916804104819498,0.0,0.2787068,0.03665017408832692,39.6,6.016622830144433,0.22062387215636522,0.09650646593321752,4.0,False,4.0,7.119296316657504,0.0,4.0,28251.0,13.459776433938062,0.1832508704416346,2.7193521519644355,5.2329982595108975,0.0,0.008876197589379155,0.2787068,16.97643575350071,0.0,0.0,Bullock,19.74335074065961,0.092902267,0.07060003280027194,22.264980758658602,0.0,4.0,0.185804534,0.0,1011,0.0
17.7,25.400000000000006,3.770678377587316,10.93452934248121,50.0,36.3,3.4837084626486847,0.28166324533346065,50.0,0.0,1.260992579269561,0.05461873853629494,4.0,43.18995560223421,1.0271087814950426,1.29179584625129,1.2162512063128037,0.0,2.629976142802019,AL,0.0492708,6.226804584468373,0,54.06024729078149,0.0,0.837603469,0.03341767317515635,25.8,1.0768789929632352,0.05291880409741299,0.10001000100010002,4.0,False,4.0,0.9118250823506946,0.0,4.0,33868.0,16.65632310116007,0.830667876068172,2.7193521519644355,5.2329982595108975,0.0492708,0.023657317784822027,1.034686638,16.97643575350071,0.0,0.0,Butler,2.926121930559144,0.492707923,0.034843935581108126,24.137107939084355,0.0,4.0,0.147812377,0.0,1013,0.0
14.9,25.400000000000006,2.6098954796953793,10.93452934248121,100.0,32.2,17.759976180911682,0.40481732618156063,100.0,0.0086269,5.201704016985663,0.7477089569130562,4.0,20.39014269810748,1.0271087814950426,1.18298708966271,3.7574743345402033,0.0,4.609625527394503,AL,0.0258808,23.433851807648516,0,73.61350065782815,100.0,0.888574485,0.07927672637722229,20.0,4.080320207731614,0.8188216362784865,0.01745033199256616,4.0,True,4.0,3.283237189218365,100.0,4.0,42091.0,14.328846607968154,0.6999966265222818,2.7193521519644355,5.2329982595108975,0.0603886,0.19825186597814828,0.638393319,16.97643575350071,50.0,0.0,Calhoun,9.178566582982912,0.66427413,0.09976766445746299,22.877239145835443,0.0185216634544734,4.0,0.232927292,100.0,1015,50.0
16.4,25.400000000000006,5.240802890493261,10.93452934248121,100.0,39.7,12.512378829320417,0.16659359929855327,0.0,0.0586923,4.66273228088964,0.3045144529659506,4.0,38.59710653222271,1.0271087814950426,1.10805779629465,3.7013984355532368,0.0,7.648583992883823,AL,0.0293462,20.843214136062457,0,58.14116615519509,100.0,0.763000352,0.020458863071752154,22.4,3.607493205587612,0.3705586179206693,0.029548207901190792,4.0,False,4.0,1.5665643723513079,100.0,4.0,35560.0,16.676896098202544,0.4851673242729797,2.7193521519644355,5.2329982595108975,0.0,0.31709310422292564,0.67496185,16.97643575350071,0.0,0.0,Chambers,10.328558281147888,0.469538678,0.06046513440048663,22.51351746310098,0.0001785802309503814,4.0,0.205423172,0.0,1017,0.0
13.3,25.400000000000006,2.822199537318709,10.93452934248121,100.0,33.6,0.38820591855052905,0.4694293739659086,100.0,0.0384069,0.07213667679747816,0.0038620365436758627,4.0,4.640424795105622,1.0271087814950426,1.2568837058633,0.053018598228049565,0.0,0.005428886443905191,AL,0.0384069,0.39833198231404826,0,92.07356958713302,0.0,0.576103238,0.0038477817538189237,19.4,0.04600567762648419,0.0013426912390104159,0.038872691933916424,4.0,False,4.0,1.2312901612220555,100.0,4.0,39144.0,17.896032937011814,0.18854130593712726,2.7193521519644355,5.2329982595108975,0.0384069,0.0,0.691323885,16.97643575350071,100.0,0.0,Cherokee,0.2211124003094359,0.422475708,0.000835141488164404,21.41675324175613,0.0,4.0,0.192034413,0.0,1019,0.0
